Row Labels,Number of instructors,Sum of Number of schools,No delivery due to covid,Sum of Levels 1 and 2 places attended (2020/21),Sum of L1 and L2 places attended - 2019/20,Sum of Level 3 Places Attended (2020/21),Sum of Plus Places Attended (2020/21),Sum of % schools that booked Bikeability2,Sum of % schools that booked Bikeability,Sum of Level 3 places attended - 2019/20,Sum of Level 3 Places Attended (2018/19),Sum of Levels 1 and 2 Places Attended (2018/19)
CV3,2,12,,94,55,0,0,42,42,0,0,36
CV31,0,26,,125,227,0,0,12,12,0,0,228
CV32,2,14,,102,197,0,0,36,36,0,0,151
CV33,0,4,Yes,0,161,0,0,50,50,0,0,0
CV34,1,13,,91,152,0,27,15,15,0,0,54
CV35,0,15,,39,261,36,0,27,27,48,31,41
CV36,0,14,,50,162,0,0,21,21,0,0,124
CV37,0,5,,66,57,0,0,40,40,0,0,96
CV4,0,21,,18,189,0,0,10,10,0,0,123
CV47,1,12,,0,67,0,0,0,0,0,0,50
CV5,5,12,,126,61,0,0,42,42,0,0,12
CV6,3,13,,115,258,0,0,38,38,0,11,287
CV7,2,16,Yes,0,492,0,0,31,31,0,0,450
CV8,2,32,,49,197,0,0,3,3,0,0,308
CV9,2,13,,60,96,0,0,23,23,0,0,0
CW1,0,15,,45,0,0,0,27,27,0,0,17
CW10,0,16,,325,482,55,15,31,31,0,30,415
CW11,0,6,,188,155,0,0,50,50,52,4,136
CW12,0,11,,151,324,0,0,27,27,0,0,394
CW2,0,15,,119,344,53,5,27,27,21,27,259
CW3,0,16,,222,563,39,54,44,44,153,130,474
CW4,0,6,,26,118,0,0,17,17,23,0,102
CW5,1,5,,59,145,0,0,20,20,0,24,188
CW6,0,16,,274,527,0,0,38,38,9,9,419
CW7,0,9,,35,102,0,1,33,33,0,0,72
CW8,0,14,,0,137,6,0,21,21,0,0,155
CW9,2,23,,89,286,0,0,22,22,0,0,210
DA1,3,16,,28,175,26,0,19,19,0,17,197
DA10,0,21,,60,88,0,0,10,10,18,0,24
DA11,0,4,,0,0,0,0,0,0,0,0,0
DA12,1,17,,0,92,0,18,12,12,0,0,55
DA13,4,20,,36,252,0,0,10,10,0,0,24
DA14,1,7,,24,36,0,90,29,29,0,0,12
DA15,0,9,,0,0,0,0,0,0,0,0,0
DA16,1,13,,0,0,0,0,0,0,0,0,0
DA17,0,14,,0,0,0,0,0,0,0,0,0
DA18,0,8,,0,0,0,0,0,0,0,0,0
DA2,1,4,,0,0,0,0,0,0,0,0,0
DA3,0,12,,51,135,0,0,8,8,0,0,186
DA4,1,9,,0,149,0,18,11,11,0,0,126
DA5,2,3,,0,33,0,0,0,0,0,0,48
DA6,1,5,,0,0,0,0,0,0,0,0,0
DA7,1,6,,0,0,0,0,0,0,0,0,0
DA8,1,9,,0,0,0,0,0,0,0,0,0
DA9,0,11,,0,0,0,0,0,0,0,0,0
DE1,2,2,,0,0,0,0,0,0,0,0,0
DE11,5,7,,0,0,0,0,0,0,0,0,0
DE12,0,22,,48,248,0,54,32,32,0,0,0
DE13,0,14,,0,123,0,57,21,21,0,0,20
DE14,2,22,,671,416,41,77,59,59,27,106,437
DE15,1,11,,328,98,0,35,27,27,0,0,134
DE21,4,13,,153,100,0,16,15,15,0,0,30
DE22,4,23,,186,94,0,162,26,26,0,24,42
DE23,4,21,,283,321,0,251,29,29,0,65,382
DE24,0,28,,136,143,0,235,21,21,11,12,131
DE27,1,,,,,,,,,,,
DE3,0,25,,244,318,0,5,20,20,12,24,219
DE4,2,10,,108,415,0,0,20,20,24,0,108
DE45,1,28,,40,125,0,27,25,25,0,0,0
DE5,0,9,,54,72,0,29,33,33,0,0,0
DE55,1,11,,155,160,0,52,64,64,0,0,0
DE56,2,34,,285,352,0,274,44,44,0,0,0
DE6,1,19,,178,229,0,54,58,58,0,0,0
DE65,1,23,,16,132,0,19,22,22,0,0,29
DE7,10,14,,47,184,0,151,50,50,0,0,0
DE72,2,26,,478,310,33,165,62,62,50,0,0
DE73,1,10,,260,143,0,0,30,30,54,0,0
