Row Labels,Count of No delivery due to covid,Sum of L1 and L2 places attended - 2019/20,Sum of Level 3 Places Attended (2018/19),Sum of Levels 1 and 2 Places Attended (2018/19),Sum of L3 places attended - 2019/20,Sum of Number of schools,Sum of Level 3 Places Attended (2020/21),Sum of % schools that booked Bikeability,Sum of Plus Places Attended (2020/21),Sum of Levels 1 and 2 places attended (2020/21)
BS4,,254,0,171,0,19,0,16,0,38
BS40,,95,0,87,0,10,0,20,0,65
BS41,,106,0,108,0,3,0,0,0,0
BS48,,83,88,87,63,14,24,29,10,88
BS49,,25,0,0,0,4,0,0,0,0
BS6,,93,0,213,12,13,0,31,0,125
BS7,,427,0,368,0,15,0,27,0,42
BS8,,164,0,56,0,8,0,0,0,0
BS9,,353,11,220,0,11,0,55,0,77
CA1,,185,5,134,0,10,0,40,0,47
CA10,,267,0,170,0,15,0,47,0,80
CA11,,292,43,301,34,14,0,57,0,60
CA12,,91,15,50,30,6,0,67,0,108
CA13,,197,0,251,0,9,0,67,0,104
CA14,,378,28,316,24,21,0,33,0,95
CA15,,129,22,142,18,13,0,38,0,97
CA16,,107,0,110,0,6,0,83,0,41
CA17,,50,21,53,6,3,17,100,0,6
CA19,,0,0,6,0,1,0,100,0,9
CA2,,364,4,456,0,15,0,33,0,77
CA20,,92,0,48,0,2,0,50,0,23
CA21,,12,0,8,0,1,0,100,0,6
CA22,,101,16,74,16,5,0,60,0,34
CA23,,0,0,11,0,1,0,0,0,0
CA24,,6,0,0,0,1,0,0,0,0
CA25,,44,0,39,0,3,0,33,0,19
CA26,,0,0,26,0,5,0,20,0,9
CA28,,210,0,220,0,17,0,29,0,42
CA3,,274,0,162,0,6,0,33,0,19
CA4,,135,0,207,0,9,0,44,0,60
CA5,,75,0,89,0,9,0,56,0,53
CA6,,102,0,90,0,8,0,50,0,60
CA7,,222,43,179,30,21,0,33,0,79
CA8,,132,0,120,0,10,0,40,0,63
CA9,,27,0,0,0,3,0,0,0,0
CB1,,514,137,621,36,21,23,52,0,204
CB10,,106,0,25,0,6,0,100,0,32
CB11,,205,0,33,58,11,56,82,29,58
CB2,,123,41,329,47,16,7,44,0,224
CB21,,225,0,309,0,15,0,33,0,96
CB22,,327,0,290,0,12,0,75,0,287
CB23,,548,26,648,18,16,22,94,0,627
CB24,,582,0,514,0,18,0,44,0,302
CB25,,131,0,155,0,6,0,67,0,75
CB3,,95,0,88,0,6,0,83,0,23
CB4,,507,48,249,61,17,0,41,0,64
CB5,,31,0,31,0,4,0,50,0,18
CB6,,322,0,428,0,19,0,42,0,188
CB8,,188,0,98,0,15,0,40,0,117
CB9,,9,0,24,0,15,0,13,0,12
CH1,,65,21,62,20,13,0,23,0,38
CH2,,91,87,179,68,17,84,41,0,162
CH3,,184,78,228,36,20,0,20,0,132
CH41,,30,0,0,0,13,0,15,0,10
CH42,,15,0,0,0,8,0,13,0,12
CH43,,236,0,0,9,17,0,12,0,75
CH44,,47,0,0,31,9,0,22,0,34
CH45,,244,0,0,19,10,0,0,0,0
CH46,,56,0,0,24,11,0,9,0,5
CH47,,27,0,0,0,2,0,0,0,0
CH48,,88,0,0,0,9,0,0,0,0
CH49,,73,0,0,44,17,44,6,0,0
CH60,,79,0,0,24,4,0,0,0,0
CH61,,97,0,0,0,7,0,29,0,26
CH62,,221,0,0,0,9,0,56,0,183
CH63,,213,0,0,0,15,0,7,0,66
CH64,,139,0,59,0,7,0,14,0,15
CH65,,53,0,119,0,14,0,0,0,0
CH66,,78,0,83,0,13,0,31,0,28
CM1,,424,11,248,0,28,36,32,0,65
CM11,,74,0,73,0,7,0,29,0,72
CM12,,382,42,213,38,9,0,56,0,84
CM13,,219,24,140,23,11,22,55,0,53
CM14,,12,0,12,0,5,0,20,0,31
CM15,,214,21,228,6,17,0,29,0,33
CM16,,111,0,14,6,9,18,67,0,105
CM17,,99,0,47,0,10,0,40,0,55
CM18,,64,0,95,0,15,0,27,0,17
CM19,,68,0,60,0,7,0,71,0,13
CM2,,308,0,292,24,27,20,37,0,190
CM20,,52,0,47,0,10,0,60,0,21
CM22,,196,0,132,0,9,0,44,0,31
CM23,,369,0,259,27,22,0,32,0,37
CM3,,564,0,350,0,28,0,46,0,260
CM4,,117,0,75,0,6,0,17,0,16
CM6,,247,5,133,0,11,0,55,30,139
CM7,,202,0,141,27,18,0,39,0,99
CM77,,89,0,75,0,5,0,40,0,88
CM8,,102,20,91,0,14,0,43,0,59
CM9,,230,0,215,0,12,0,33,0,76
CO1,,110,0,65,0,4,0,100,0,60
CO10,,115,0,212,0,24,0,25,0,28
CO11,,49,0,77,0,7,0,43,0,70
CO12,,66,0,43,0,9,0,44,0,11
CO14,,50,0,41,0,2,0,100,0,32
CO15,,12,59,12,15,12,0,25,0,96
CO16,,120,0,75,0,9,0,44,0,9
CO3,,327,30,259,5,22,0,32,0,107
CO4,,298,0,376,10,21,0,29,0,29
CO5,,144,27,177,0,12,0,25,0,71
CO6,,411,0,170,0,17,0,41,0,62
CO7,,241,4,168,4,15,0,20,0,58
CO9,,86,0,130,0,17,0,29,0,21
CR0,,0,0,0,0,58,0,0,0,0
CR2,,0,0,0,0,20,0,0,0,0
CR3,,146,0,128,0,18,0,17,0,13
CR4,,0,0,0,0,24,0,0,0,0
CR5,,0,0,0,0,9,0,0,0,0
