Node,"Conservative Prediction",Lab_pred,Lib_pred,SNP_pred,Plaid_pred,Green_pred,RefUK_pred,Other_pred,Winner_pred,Con_2019,Lab_2019,Lib_2019,SNP_2019,Plaid_2019,Green_2019,Brexit_2019,Other_2019,Winner_2019
"Skipton and Ripon",35.9,29.8,19.1,0,0,6.9,5.3,3.1,Con,59.5,19.1,14.8,0,0,4.7,0,1.9,Con
Fareham,39.8,27.2,14.8,0,0,6.7,7.5,4.2,Con,63.7,18.1,14,0,0,4.2,0,0,Con
Buckingham,36.7,24.9,22.9,0,0,4.3,7.6,3.8,Con,58.4,12,26.2,0,0,0,2,1.4,Con
"Oxford West and Abingdon",24.9,23.7,38.9,0,0,5.1,4.7,2.9,Lib,38.1,7.2,53.3,0,0,0,1.4,0,Lib
"Chingford and Woodford Green",29.8,42,10.1,0,0,6.7,8.2,3.5,Lab,48.5,45.9,5.7,0,0,0,0,0,Con
"Birmingham, Hodge Hill",10.8,62.9,10.2,0,0,7.4,5.2,3.6,Lab,15,78.7,1.7,0,0,0.7,3.4,0.6,Lab
Redcar,28.1,47.5,8.9,0,0,3.5,7.6,4.4,Lab,46.1,37.4,4.9,0,0,1.2,7.1,3.2,Con
"Dundee West",12.1,26.6,5.8,48,0,2.2,3.1,2.4,SNP,12.4,24.3,5.9,53.8,0,0,3.1,0.6,SNP
"Ealing Central and Acton",20.3,46.1,15.7,0,0,9.3,6.4,2.5,Lab,27.1,51.3,17.2,0,0,3.2,1.2,0,Lab
Cheltenham,28.3,19.4,40.5,0,0,5.8,4.1,2,Lib,48,4.9,46.3,0,0,0,0,0.7,Con
"Worsley and Eccles South",22.6,48.5,8.3,0,0,6,10.9,3.8,Lab,38.5,45.7,5.6,0,0,2.9,7.2,0,Lab
"Gillingham and Rainham",37.2,33.4,9.6,0,0,5.9,9,5.1,Con,61.3,28.4,5.4,0,0,2.3,0,2.6,Con
Copeland,29.7,45,9.8,0,0,5.1,8,2.7,Lab,53.7,40,4.4,0,0,1.8,0,0,Con
"Wirral South",23,51.8,9.3,0,0,5.9,7,3.2,Lab,37.2,51.2,6.7,0,0,2.2,2.8,0,Lab
"Dunfermline and West Fife",18.6,30.2,7,37,0,2.9,2.3,2.4,SNP,21,24.4,8,44.4,0,2.4,0,0,SNP
"Alyn and Deeside",23.9,48.4,8.4,0,5,5.1,8.8,0.7,Lab,42,42.5,5.9,0,3.4,0,6.2,0,Lab
"Berwickshire, Roxburgh and Selkirk",36.3,9.8,9.3,38,0,1.7,3.3,1.9,SNP,48.4,4.7,8.1,38.8,0,0,0,0,Con
Tewkesbury,35.5,25.8,23.8,0,0,7,6,2.1,Con,58.4,15.2,21.8,0,0,4.6,0,0,Con
"Leyton and Wanstead",15.3,51.4,13.9,0,0,9.9,7.1,2.7,Lab,18,64.7,10.5,0,0,4.1,1.8,1,Lab
Delyn,25.3,48.1,7.7,0,6,5.5,7.8,0.7,Lab,43.7,41.4,6.1,0,3.7,0,5.1,0,Con
"Stoke-on-Trent Central",28.3,41.7,10.5,0,0,7.3,7.5,4.9,Lab,45.4,43.3,3.5,0,0,2.6,5.3,0,Con
"Orkney and Shetland",13.6,14.6,31.4,33,0,3,2.1,2.5,SNP,9.9,6.7,44.8,34,0,0,3.9,0.7,Lib
"Morecambe and Lunesdale",30.3,43.6,10,0,0,5.3,7.9,3,Lab,52.8,38.8,5.1,0,0,2.1,0,1.2,Con
"Bournemouth East",31.8,36.9,16.9,0,0,7.3,4.6,2.6,Lab,50.6,32.7,11,0,0,4.2,0,1.5,Con
"Stoke-on-Trent North",33,36.1,10.5,0,0,6.4,8.6,5.6,Lab,52.3,36.6,3.2,0,0,1.3,5.9,0.8,Con
"Epping Forest",38.9,27.5,13.3,0,0,8.3,6.6,5.6,Con,64.4,20.3,10.7,0,0,3.9,0,0.7,Con
"Aberdeen North",16.7,17.3,7.8,49,0,3.5,3.3,3.4,SNP,20.1,13.2,7.6,54,0,2.4,2.7,0,SNP
Windsor,37.5,25.8,19.6,0,0,6.5,6.9,4,Con,58.6,15.2,21.3,0,0,3.3,0,1.6,Con
Ipswich,32.1,40.4,9.3,0,0,8.1,7.1,3.2,Lab,50.3,39.3,4.9,0,0,2.6,2.9,0,Con
"Ilford South",15.4,53.2,8.8,0,0,8.6,7.7,6.4,Lab,20.5,65.6,3.4,0,0,1.3,1.9,7.3,Lab
"Somerton and Frome",33.8,23.4,28.2,0,0,7.1,5.6,2,Con,55.8,12.9,26.2,0,0,5.1,0,0,Con
"Garston and Halewood",11.2,65.6,7.5,0,0,6.4,5.8,3.7,Lab,13,72.3,6.2,0,0,2.2,5.5,0.6,Lab
"Central Devon",34.1,30.7,21.3,0,0,6.9,5.3,1.9,Con,55.3,24.8,15.1,0,0,4.9,0,0,Con
"Portsmouth North",37.6,33,10.5,0,0,6,8.8,4.3,Con,61.4,27,7.4,0,0,2.8,0,1.4,Con
"Southampton, Itchen",30.9,42.5,9.2,0,0,6.7,6.8,4.2,Lab,50.5,41,5.3,0,0,2.2,0,1,Con
Maidenhead,36.2,24.8,21.9,0,0,6.7,7.1,3.7,Con,57.7,14,24.4,0,0,3.9,0,0,Con
Wantage,32,27.1,25.2,0,0,4.9,7.1,3.9,Con,50.7,15.2,31.9,0,0,0,0,2.2,Con
